Country,Year,Transparency of government policy-making.
Kuwait,2010,3.6614139010000004
Kuwait,2011,3.735929108
Kuwait,2012,3.7827488089999997
Kuwait,2013,3.677489295
Kuwait,2015,3.640024908
Kyrgyzstan,2006,2.731182796
Kyrgyzstan,2007,2.833718748
Kyrgyzstan,2008,3.066236153
Kyrgyzstan,2009,3.556529573
Kyrgyzstan,2010,4.00293935
Kyrgyzstan,2011,4.292558679
Kyrgyzstan,2012,4.07769015
Kyrgyzstan,2013,3.822174175
Kyrgyzstan,2015,3.8393749089999996
Laos,2013,3.759743
Laos,2015,3.547500887
Latvia,2006,3.957446809
Latvia,2007,3.8751680860000004
Latvia,2008,3.659571764
Latvia,2009,4.036398921
Latvia,2010,4.22711661
Latvia,2011,4.025284946
Latvia,2012,4.243720728
Latvia,2013,4.482538056
Latvia,2015,4.4380421430000006
Lebanon,2010,3.854941
Lebanon,2011,3.980225407
Lebanon,2012,3.8215364419999998
Lebanon,2013,3.2757964210000003
Lebanon,2015,2.890258848
Lesotho,2006,3.539473684
Lesotho,2007,3.253520018
Lesotho,2008,3.550562665
Lesotho,2009,3.6822576430000002
Lesotho,2010,3.580457811
Lesotho,2011,3.538240187
Lesotho,2012,3.2976314330000003
Lesotho,2013,3.7033995760000002
Lesotho,2015,3.94353055
Liberia,2012,4.4927410000000005
Liberia,2013,4.264549632
Libya,2007,3.182926829
Libya,2008,3.590687343
Libya,2009,3.553484792
Libya,2010,2.952649459
Libya,2012,4.003071
Libya,2013,3.530661933
Libya,2015,2.864266378
Lithuania,2006,3.8456790119999997
Lithuania,2007,4.180179998
Lithuania,2008,4.109994694
Lithuania,2009,4.240891
Lithuania,2010,4.589628045
Lithuania,2011,4.590473465
Lithuania,2012,4.5810352960000005
Lithuania,2013,4.654935982
Lithuania,2015,4.654157058
Luxembourg,2006,5.152542373
Luxembourg,2007,5.174169426000001
Luxembourg,2008,5.266163338999999
Luxembourg,2009,5.663032951
Luxembourg,2010,5.9114496160000005
Luxembourg,2011,5.665661012
Luxembourg,2012,5.458322031
Luxembourg,2013,5.507602076
Luxembourg,2015,5.621691855
Macedonia (F.Y.R.O.M.),2006,3.623529412
Macedonia (F.Y.R.O.M.),2007,3.816741847
Macedonia (F.Y.R.O.M.),2008,3.902171493
Macedonia (F.Y.R.O.M.),2009,4.103991773
Macedonia (F.Y.R.O.M.),2010,4.200171147
Macedonia (F.Y.R.O.M.),2011,3.992236151
Macedonia (F.Y.R.O.M.),2012,4.22696088
Macedonia (F.Y.R.O.M.),2013,4.415567428
Macedonia (F.Y.R.O.M.),2015,4.599554255
Madagascar,2006,3.526785714
Madagascar,2007,3.8735096280000003
Madagascar,2008,4.027466093999999
Madagascar,2009,3.851087487
Madagascar,2010,3.509970722
Madagascar,2011,3.17613012
Madagascar,2012,3.000833612
Madagascar,2013,2.977469403
Madagascar,2015,3.1033194789999996
Malawi,2008,4.578005999999999
Malawi,2009,4.434679159
Malawi,2010,4.488555346
Malawi,2011,4.22844524
Malawi,2012,3.860160016
Malawi,2013,3.852857087
Malawi,2015,3.64271627
